Latency,Requests,Throughput,Measured_Throughput,Baseline,Orchestrator,Benchmark,Infinite,Exp,Availability,Horizontal,Vertical,Threads,Connections,Duration,Mean,Max,StdDev,ReqSec
6.5,1500.0,44332.0,29617,0,swarm,sn,1,exp11,0,1,1,4,512,30,2.583,12.608,1.684,1477.49
6.73,1500.0,43351.0,29318,0,swarm,sn,1,exp11,0,1,1,4,1024,30,3.173,11.2,1.557,1444.97
6.79,1500.0,43447.0,29010,0,swarm,sn,1,exp11,0,1,1,16,1024,30,3.252,11.168,1.52,1447.21
6.64,1500.0,44198.0,29507,0,swarm,sn,1,exp11,0,1,1,16,512,30,3.014,13.224,1.598,1472.43
19350.0,2000.0,37968.0,24511,0,swarm,sn,1,exp11,0,1,1,16,512,30,5634.431,24035.328,4806.725,1264.22
7.86,2000.0,59644.0,39733,0,swarm,sn,1,exp11,0,1,1,4,512,30,3.385,23.92,1.667,1988.12
19940.0,2000.0,34812.0,22191,0,swarm,sn,1,exp11,0,1,1,16,1024,30,6958.851,25182.208,5359.665,1158.14
18920.0,2000.0,35520.0,22086,0,swarm,sn,1,exp11,0,1,1,4,1024,30,6590.244,22495.232,4671.79,1182.72
22790.0,2500.0,29827.0,19183,0,swarm,sn,1,exp11,0,1,1,16,1024,30,10503.751,27279.36,5422.071,992.02
21300.0,2500.0,33942.0,21933,0,swarm,sn,1,exp11,0,1,1,4,512,30,8560.933,24182.784,5996.897,1129.85
22760.0,2500.0,32815.0,21337,0,swarm,sn,1,exp11,0,1,1,16,512,30,9013.612,26935.296,6322.739,1093.59
23350.0,2500.0,31307.0,19869,0,swarm,sn,1,exp11,0,1,1,4,1024,30,9949.977,26525.696,5561.944,1040.8
23940.0,3000.0,26849.0,17954,0,swarm,sn,1,exp11,0,1,1,16,1024,30,12952.7,26755.072,5596.526,894.78
26710.0,3000.0,28490.0,18708,0,swarm,sn,1,exp11,0,1,1,16,512,30,9690.083,28295.168,6674.381,948.66
23820.0,3000.0,27387.0,17378,0,swarm,sn,1,exp11,0,1,1,4,1024,30,12739.348,26722.304,5179.331,910.76
25430.0,3000.0,28935.0,18966,0,swarm,sn,1,exp11,0,1,1,4,512,30,10100.003,28606.464,6190.56,964.52
10.14,4000.0,117340.0,78566,0,swarm,mm,1,exp11,0,1,1,16,1024,30,4.882,61.696,1.455,3911.38
9.26,4000.0,119854.0,79785,0,swarm,mm,1,exp11,0,1,1,4,512,30,5.377,744.448,17.397,3995.31
8.63,4000.0,119792.0,80184,0,swarm,mm,1,exp11,0,1,1,16,512,30,4.502,22.192,1.105,3993.13
9.4,4000.0,117078.0,78777,0,swarm,mm,1,exp11,0,1,1,4,1024,30,4.736,51.264,1.35,3902.7
591.87,5000.0,144605.0,96286,0,swarm,mm,1,exp11,0,1,1,16,1024,30,72.331,1431.552,121.515,4820.21
42.4,5000.0,149435.0,100038,0,swarm,mm,1,exp11,0,1,1,16,512,30,11.413,132.608,7.661,4981.66
62.78,5000.0,145171.0,98466,0,swarm,mm,1,exp11,0,1,1,4,1024,30,15.092,197.888,12.031,4839.33
30.24,5000.0,148577.0,99709,0,swarm,mm,1,exp11,0,1,1,4,512,30,9.36,83.136,5.321,4952.85
11640.0,6000.0,117540.0,76124,0,swarm,mm,1,exp11,0,1,1,4,1024,30,5979.515,15712.256,2334.235,3918.06
10650.0,6000.0,125283.0,80834,0,swarm,mm,1,exp11,0,1,1,16,512,30,5792.112,12943.36,2134.762,4175.41
10630.0,6000.0,127714.0,84136,0,swarm,mm,1,exp11,0,1,1,16,1024,30,5378.563,13860.864,2171.161,4247.6
9330.0,6000.0,131093.0,84843,0,swarm,mm,1,exp11,0,1,1,4,512,30,4917.625,11804.672,1989.637,4370.0
13640.0,7000.0,120486.0,78690,0,swarm,mm,1,exp11,0,1,1,4,512,30,8077.047,15597.568,2702.997,4016.47
16250.0,7000.0,103923.0,66922,0,swarm,mm,1,exp11,0,1,1,4,1024,30,9603.436,19267.584,3172.784,3463.59
14000.0,7000.0,117411.0,77052,0,swarm,mm,1,exp11,0,1,1,16,512,30,8302.212,16195.584,2639.36,3913.84
16329.999999999998,7000.0,103666.0,68531,0,swarm,mm,1,exp11,0,1,1,16,1024,30,9692.362,19595.264,3191.926,3455.72
8870.0,12000.0,276346.0,246294,0,swarm,hr,1,exp11,0,1,1,4,512,30,6759.107,10215.424,873.959,9211.74
37.09,12000.0,360067.0,240551,0,swarm,hr,1,exp11,0,1,1,16,512,30,5.083,168.32,8.009,12003.19
153.21,14000.0,416448.0,278830,0,swarm,hr,1,exp11,0,1,1,4,512,30,10.863,357.12,24.448,13881.47
129.21,14000.0,420231.0,279993,0,swarm,hr,1,exp11,0,1,1,16,512,30,9.787,367.36,21.175,14008.35
433.92,16000.0,479975.0,319588,0,swarm,hr,1,exp11,0,1,1,16,512,30,29.816,870.912,77.609,16001.44
342.27,16000.0,479344.0,318085,0,swarm,hr,1,exp11,0,1,1,4,512,30,22.556,637.44,57.339,15978.46
755.2,18000.0,538124.0,359033,0,swarm,hr,1,exp11,0,1,1,16,512,30,83.649,1192.96,169.467,17937.07
621.57,18000.0,534670.0,357771,0,swarm,hr,1,exp11,0,1,1,4,512,30,60.865,1056.768,130.357,17822.51
624.64,20000.0,596521.0,396693,0,swarm,hr,1,exp11,0,1,1,4,512,30,141.627,1223.68,131.739,19883.94
793.6,20000.0,597996.0,405380,0,swarm,hr,1,exp11,0,1,1,16,512,30,81.761,1432.576,144.032,19933.16
